sample_name,mod$distances,name,Density,Diversity,plantcount,Density_Diversity
3aB1,0.5168577,3aB1,Low,Ba,2,Ba1
9F48,0.4062528,9F48,High,F,1,F48
6Abf1,0.454704,6Abf1,Low,Abf,3,Abf1
12aBf1,0.5199305,12aBf1,Low,Baf,3,Baf1
6aBf1,0.4221205,6aBf1,Low,Baf,3,Baf1
2abF1,0.5120783,2abF1,Low,Fab,3,Fab1
8F24,0.4485669,8F24,Medium,F,1,F24
8Bf48,0.4164982,8Bf48,High,Bf,2,Bf48
1Bf1,0.561003,1Bf1,Low,Bf,2,Bf1
7Af48,0.4280404,7Af48,High,Af,2,Af48
6abF24,0.4764532,6abF24,Medium,Fab,3,Fab24
7Ab24,0.4273683,7Ab24,Medium,Ab,2,Ab24
8B48,0.5518433,8B48,High,B,1,B48
9B1,0.4415678,9B1,Low,B,1,B1
9A48,0.4520176,9A48,High,A,1,A48
6bF1,0.5260169,6bF1,Low,Fb,2,Fb1
4B48,0.4829414,4B48,High,B,1,B48
3F24,0.4459405,3F24,Medium,F,1,F24
6abF1,0.4204976,6abF1,Low,Fab,3,Fab1
2aB24,0.4260637,2aB24,Medium,Ba,2,Ba24
7F48,0.4933843,7F48,High,F,1,F48
2aF24,0.5500075,2aF24,Medium,Fa,2,Fa24
8B24,0.4053824,8B24,Medium,B,1,B24
5aBf48,0.4401174,5aBf48,High,Baf,3,Baf48
2Abf1,0.5070008,2Abf1,Low,Abf,3,Abf1
4Bf1,0.5240554,4Bf1,Low,Bf,2,Bf1
7aF48,0.4702664,7aF48,High,Fa,2,Fa48
7aB24,0.3759768,7aB24,Medium,Ba,2,Ba24
2Ab24,0.4034604,2Ab24,Medium,Ab,2,Ab24
10F48,0.4762672,10F48,High,F,1,F48
4B1,0.4407808,4B1,Low,B,1,B1
10Abf24,0.516276,10Abf24,Medium,Abf,3,Abf24
9F1,0.4631144,9F1,Low,F,1,F1
3Ab24,0.4352407,3Ab24,Medium,Ab,2,Ab24
1bF1,0.4419132,1bF1,Low,Fb,2,Fb1
